layer,feature,group,unit,definition,n_missing,mean,sd,min,max
space,is_central_zone,Zone context,0/1,Ball position satisfies 30 <= y < 50.,0.0,0.24044096887978803,0.4273516350381846,0.0,1.0
space,is_half_space_left,Zone context,0/1,Ball position satisfies 18 <= y < 30.,0.0,0.15912330053165255,0.36579133850423323,0.0,1.0
space,is_half_space_right,Zone context,0/1,Ball position satisfies 50 < y <= 62.,0.0,0.15464013959705974,0.3615615980095944,0.0,1.0
space,is_wide_zone,Zone context,0/1,Ball position satisfies y < 18 or y > 62.,0.0,0.4445778583552446,0.4969193155615615,0.0,1.0
space,is_box_action,Zone context,0/1,Ball position is inside the opponent's penalty area: x >= 102 and 18 <= y <= 62.,0.0,0.031144022395395748,0.17370700499083974,0.0,1.0
space,is_box_entry,Zone context,0/1,"The action's END location is inside the opponent's penalty area. Unlike the other zone flags this describes the destination, not the origin.",0.0,0.05846817397929854,0.23462681056591808,0.0,1.0
space,is_final_third_entry,Zone context,0/1,The action's END location satisfies x >= 80.,0.0,0.26787056658582464,0.4428501548902826,0.0,1.0
coverage,visible_area_m2,Broadcast coverage,m^2,"Shoelace area of the StatsBomb visible-area polygon, converted to square metres.",0.0,1995.01543780524,647.3312579350485,130.300446567373,6433.667279019724
coverage,visible_area_frac,Broadcast coverage,fraction,visible_area_m2 divided by the full pitch area of 7140 m^2.,0.0,0.27941392686347893,0.09066264116737374,0.018249362264337956,0.9010738486022023
coverage,actor_dist_to_boundary_m,Broadcast coverage,m,"Shortest distance from the acting player to any edge of the visible-area polygon. Small values mean the actor's surroundings are partly outside the camera view, so the opponent counts near her are under-estimates.",0.0,8.21569406399989,4.2773278519944675,0.0,79.80751635530535
coverage,n_visible_players,Broadcast coverage,count,"Total players with a recorded location in the freeze frame, both teams.",0.0,15.178203946406159,3.482090393848084,1.0,22.0
phase,phase_build_up,Tactical phase,0/1,"Default for actions in the own third (x <= 40 in SPADL coordinates), unless overridden below.",,,,,
phase,phase_progression,Tactical phase,0/1,Default for actions in the middle third.,,,,,
phase,phase_final_third_creation,Tactical phase,0/1,Default for actions in the attacking third (x >= 70 in SPADL coordinates).,,,,,
phase,phase_defensive_transition,Tactical phase,0/1,"Overrides the zone default: a defensive action (tackle, interception, clearance, block or foul) in the own third immediately after a possession change.",,,,,
phase,phase_transition_attack,Tactical phase,0/1,Overrides the above: any action within five seconds of the start of a possession that began with a recovery or a counter-attack.,,,,,
phase,phase_set_piece,Tactical phase,0/1,"Highest priority: any action that is itself a restart, or the first action of a possession beginning from one.",,,,,
phase,phase_build_up_x_pass,Phase x action-type interaction,0/1,"Action is in phase 'build_up' and its SPADL type is in the 'pass' family (pass, cross).",,,,,
phase,phase_build_up_x_carry,Phase x action-type interaction,0/1,Action is in phase 'build_up' and its SPADL type is in the 'carry' family (dribble).,,,,,
phase,phase_build_up_x_take_on,Phase x action-type interaction,0/1,Action is in phase 'build_up' and its SPADL type is in the 'take_on' family (take_on).,,,,,
phase,phase_build_up_x_shot,Phase x action-type interaction,0/1,"Action is in phase 'build_up' and its SPADL type is in the 'shot' family (shot, shot_freekick, shot_penalty).",,,,,
phase,phase_build_up_x_defensive,Phase x action-type interaction,0/1,"Action is in phase 'build_up' and its SPADL type is in the 'defensive' family (tackle, interception, clearance, foul, bad_touch).",,,,,
phase,phase_build_up_x_keeper,Phase x action-type interaction,0/1,"Action is in phase 'build_up' and its SPADL type is in the 'keeper' family (keeper_save, keeper_claim, keeper_punch).",,,,,
phase,phase_build_up_x_restart,Phase x action-type interaction,0/1,"Action is in phase 'build_up' and its SPADL type is in the 'restart' family (throw_in, goalkick, freekick_short, freekick_crossed, corner_crossed, corner_short).",,,,,
phase,phase_progression_x_pass,Phase x action-type interaction,0/1,"Action is in phase 'progression' and its SPADL type is in the 'pass' family (pass, cross).",,,,,
phase,phase_progression_x_carry,Phase x action-type interaction,0/1,Action is in phase 'progression' and its SPADL type is in the 'carry' family (dribble).,,,,,
phase,phase_progression_x_take_on,Phase x action-type interaction,0/1,Action is in phase 'progression' and its SPADL type is in the 'take_on' family (take_on).,,,,,
phase,phase_progression_x_shot,Phase x action-type interaction,0/1,"Action is in phase 'progression' and its SPADL type is in the 'shot' family (shot, shot_freekick, shot_penalty).",,,,,
phase,phase_progression_x_defensive,Phase x action-type interaction,0/1,"Action is in phase 'progression' and its SPADL type is in the 'defensive' family (tackle, interception, clearance, foul, bad_touch).",,,,,
phase,phase_progression_x_keeper,Phase x action-type interaction,0/1,"Action is in phase 'progression' and its SPADL type is in the 'keeper' family (keeper_save, keeper_claim, keeper_punch).",,,,,
phase,phase_progression_x_restart,Phase x action-type interaction,0/1,"Action is in phase 'progression' and its SPADL type is in the 'restart' family (throw_in, goalkick, freekick_short, freekick_crossed, corner_crossed, corner_short).",,,,,
phase,phase_final_third_creation_x_pass,Phase x action-type interaction,0/1,"Action is in phase 'final_third_creation' and its SPADL type is in the 'pass' family (pass, cross).",,,,,
phase,phase_final_third_creation_x_carry,Phase x action-type interaction,0/1,Action is in phase 'final_third_creation' and its SPADL type is in the 'carry' family (dribble).,,,,,
phase,phase_final_third_creation_x_take_on,Phase x action-type interaction,0/1,Action is in phase 'final_third_creation' and its SPADL type is in the 'take_on' family (take_on).,,,,,
phase,phase_final_third_creation_x_shot,Phase x action-type interaction,0/1,"Action is in phase 'final_third_creation' and its SPADL type is in the 'shot' family (shot, shot_freekick, shot_penalty).",,,,,
phase,phase_final_third_creation_x_defensive,Phase x action-type interaction,0/1,"Action is in phase 'final_third_creation' and its SPADL type is in the 'defensive' family (tackle, interception, clearance, foul, bad_touch).",,,,,
phase,phase_final_third_creation_x_keeper,Phase x action-type interaction,0/1,"Action is in phase 'final_third_creation' and its SPADL type is in the 'keeper' family (keeper_save, keeper_claim, keeper_punch).",,,,,
phase,phase_final_third_creation_x_restart,Phase x action-type interaction,0/1,"Action is in phase 'final_third_creation' and its SPADL type is in the 'restart' family (throw_in, goalkick, freekick_short, freekick_crossed, corner_crossed, corner_short).",,,,,
phase,phase_defensive_transition_x_pass,Phase x action-type interaction,0/1,"Action is in phase 'defensive_transition' and its SPADL type is in the 'pass' family (pass, cross).",,,,,
phase,phase_defensive_transition_x_carry,Phase x action-type interaction,0/1,Action is in phase 'defensive_transition' and its SPADL type is in the 'carry' family (dribble).,,,,,
phase,phase_defensive_transition_x_take_on,Phase x action-type interaction,0/1,Action is in phase 'defensive_transition' and its SPADL type is in the 'take_on' family (take_on).,,,,,
phase,phase_defensive_transition_x_shot,Phase x action-type interaction,0/1,"Action is in phase 'defensive_transition' and its SPADL type is in the 'shot' family (shot, shot_freekick, shot_penalty).",,,,,
phase,phase_defensive_transition_x_defensive,Phase x action-type interaction,0/1,"Action is in phase 'defensive_transition' and its SPADL type is in the 'defensive' family (tackle, interception, clearance, foul, bad_touch).",,,,,
phase,phase_defensive_transition_x_keeper,Phase x action-type interaction,0/1,"Action is in phase 'defensive_transition' and its SPADL type is in the 'keeper' family (keeper_save, keeper_claim, keeper_punch).",,,,,
phase,phase_defensive_transition_x_restart,Phase x action-type interaction,0/1,"Action is in phase 'defensive_transition' and its SPADL type is in the 'restart' family (throw_in, goalkick, freekick_short, freekick_crossed, corner_crossed, corner_short).",,,,,
phase,phase_transition_attack_x_pass,Phase x action-type interaction,0/1,"Action is in phase 'transition_attack' and its SPADL type is in the 'pass' family (pass, cross).",,,,,
phase,phase_transition_attack_x_carry,Phase x action-type interaction,0/1,Action is in phase 'transition_attack' and its SPADL type is in the 'carry' family (dribble).,,,,,
phase,phase_transition_attack_x_take_on,Phase x action-type interaction,0/1,Action is in phase 'transition_attack' and its SPADL type is in the 'take_on' family (take_on).,,,,,
phase,phase_transition_attack_x_shot,Phase x action-type interaction,0/1,"Action is in phase 'transition_attack' and its SPADL type is in the 'shot' family (shot, shot_freekick, shot_penalty).",,,,,
phase,phase_transition_attack_x_defensive,Phase x action-type interaction,0/1,"Action is in phase 'transition_attack' and its SPADL type is in the 'defensive' family (tackle, interception, clearance, foul, bad_touch).",,,,,
phase,phase_transition_attack_x_keeper,Phase x action-type interaction,0/1,"Action is in phase 'transition_attack' and its SPADL type is in the 'keeper' family (keeper_save, keeper_claim, keeper_punch).",,,,,
phase,phase_transition_attack_x_restart,Phase x action-type interaction,0/1,"Action is in phase 'transition_attack' and its SPADL type is in the 'restart' family (throw_in, goalkick, freekick_short, freekick_crossed, corner_crossed, corner_short).",,,,,
phase,phase_set_piece_x_pass,Phase x action-type interaction,0/1,"Action is in phase 'set_piece' and its SPADL type is in the 'pass' family (pass, cross).",,,,,
phase,phase_set_piece_x_carry,Phase x action-type interaction,0/1,Action is in phase 'set_piece' and its SPADL type is in the 'carry' family (dribble).,,,,,
phase,phase_set_piece_x_take_on,Phase x action-type interaction,0/1,Action is in phase 'set_piece' and its SPADL type is in the 'take_on' family (take_on).,,,,,
phase,phase_set_piece_x_shot,Phase x action-type interaction,0/1,"Action is in phase 'set_piece' and its SPADL type is in the 'shot' family (shot, shot_freekick, shot_penalty).",,,,,
phase,phase_set_piece_x_defensive,Phase x action-type interaction,0/1,"Action is in phase 'set_piece' and its SPADL type is in the 'defensive' family (tackle, interception, clearance, foul, bad_touch).",,,,,
phase,phase_set_piece_x_keeper,Phase x action-type interaction,0/1,"Action is in phase 'set_piece' and its SPADL type is in the 'keeper' family (keeper_save, keeper_claim, keeper_punch).",,,,,
phase,phase_set_piece_x_restart,Phase x action-type interaction,0/1,"Action is in phase 'set_piece' and its SPADL type is in the 'restart' family (throw_in, goalkick, freekick_short, freekick_crossed, corner_crossed, corner_short).",,,,,
baseline,actiontype_pass_a0,Action type,0/1,"One-hot: for the action being valued, SPADL action type is 'pass'.",,,,,
baseline,actiontype_cross_a0,Action type,0/1,"One-hot: for the action being valued, SPADL action type is 'cross'.",,,,,
baseline,actiontype_throw_in_a0,Action type,0/1,"One-hot: for the action being valued, SPADL action type is 'throw_in'.",,,,,
baseline,actiontype_freekick_crossed_a0,Action type,0/1,"One-hot: for the action being valued, SPADL action type is 'freekick_crossed'.",,,,,
baseline,actiontype_freekick_short_a0,Action type,0/1,"One-hot: for the action being valued, SPADL action type is 'freekick_short'.",,,,,
baseline,actiontype_corner_crossed_a0,Action type,0/1,"One-hot: for the action being valued, SPADL action type is 'corner_crossed'.",,,,,
baseline,actiontype_corner_short_a0,Action type,0/1,"One-hot: for the action being valued, SPADL action type is 'corner_short'.",,,,,
baseline,actiontype_take_on_a0,Action type,0/1,"One-hot: for the action being valued, SPADL action type is 'take_on'.",,,,,
baseline,actiontype_foul_a0,Action type,0/1,"One-hot: for the action being valued, SPADL action type is 'foul'.",,,,,
baseline,actiontype_tackle_a0,Action type,0/1,"One-hot: for the action being valued, SPADL action type is 'tackle'.",,,,,
baseline,actiontype_interception_a0,Action type,0/1,"One-hot: for the action being valued, SPADL action type is 'interception'.",,,,,
baseline,actiontype_shot_a0,Action type,0/1,"One-hot: for the action being valued, SPADL action type is 'shot'.",,,,,
baseline,actiontype_shot_penalty_a0,Action type,0/1,"One-hot: for the action being valued, SPADL action type is 'shot_penalty'.",,,,,
baseline,actiontype_shot_freekick_a0,Action type,0/1,"One-hot: for the action being valued, SPADL action type is 'shot_freekick'.",,,,,
baseline,actiontype_keeper_save_a0,Action type,0/1,"One-hot: for the action being valued, SPADL action type is 'keeper_save'.",,,,,
baseline,actiontype_keeper_claim_a0,Action type,0/1,"One-hot: for the action being valued, SPADL action type is 'keeper_claim'.",,,,,
baseline,actiontype_keeper_punch_a0,Action type,0/1,"One-hot: for the action being valued, SPADL action type is 'keeper_punch'.",,,,,
baseline,actiontype_keeper_pick_up_a0,Action type,0/1,"One-hot: for the action being valued, SPADL action type is 'keeper_pick_up'.",,,,,
baseline,actiontype_clearance_a0,Action type,0/1,"One-hot: for the action being valued, SPADL action type is 'clearance'.",,,,,
baseline,actiontype_bad_touch_a0,Action type,0/1,"One-hot: for the action being valued, SPADL action type is 'bad_touch'.",,,,,
baseline,actiontype_non_action_a0,Action type,0/1,"One-hot: for the action being valued, SPADL action type is 'non_action'.",,,,,
baseline,actiontype_dribble_a0,Action type,0/1,"One-hot: for the action being valued, SPADL action type is 'dribble'.",,,,,
baseline,actiontype_goalkick_a0,Action type,0/1,"One-hot: for the action being valued, SPADL action type is 'goalkick'.",,,,,
baseline,actiontype_pass_a1,Action type,0/1,"One-hot: for the action 1 step(s) before the one being valued, SPADL action type is 'pass'.",,,,,
baseline,actiontype_cross_a1,Action type,0/1,"One-hot: for the action 1 step(s) before the one being valued, SPADL action type is 'cross'.",,,,,
baseline,actiontype_throw_in_a1,Action type,0/1,"One-hot: for the action 1 step(s) before the one being valued, SPADL action type is 'throw_in'.",,,,,
baseline,actiontype_freekick_crossed_a1,Action type,0/1,"One-hot: for the action 1 step(s) before the one being valued, SPADL action type is 'freekick_crossed'.",,,,,
baseline,actiontype_freekick_short_a1,Action type,0/1,"One-hot: for the action 1 step(s) before the one being valued, SPADL action type is 'freekick_short'.",,,,,
baseline,actiontype_corner_crossed_a1,Action type,0/1,"One-hot: for the action 1 step(s) before the one being valued, SPADL action type is 'corner_crossed'.",,,,,
baseline,actiontype_corner_short_a1,Action type,0/1,"One-hot: for the action 1 step(s) before the one being valued, SPADL action type is 'corner_short'.",,,,,
baseline,actiontype_take_on_a1,Action type,0/1,"One-hot: for the action 1 step(s) before the one being valued, SPADL action type is 'take_on'.",,,,,
baseline,actiontype_foul_a1,Action type,0/1,"One-hot: for the action 1 step(s) before the one being valued, SPADL action type is 'foul'.",,,,,
baseline,actiontype_tackle_a1,Action type,0/1,"One-hot: for the action 1 step(s) before the one being valued, SPADL action type is 'tackle'.",,,,,
baseline,actiontype_interception_a1,Action type,0/1,"One-hot: for the action 1 step(s) before the one being valued, SPADL action type is 'interception'.",,,,,
baseline,actiontype_shot_a1,Action type,0/1,"One-hot: for the action 1 step(s) before the one being valued, SPADL action type is 'shot'.",,,,,
baseline,actiontype_shot_penalty_a1,Action type,0/1,"One-hot: for the action 1 step(s) before the one being valued, SPADL action type is 'shot_penalty'.",,,,,
baseline,actiontype_shot_freekick_a1,Action type,0/1,"One-hot: for the action 1 step(s) before the one being valued, SPADL action type is 'shot_freekick'.",,,,,
baseline,actiontype_keeper_save_a1,Action type,0/1,"One-hot: for the action 1 step(s) before the one being valued, SPADL action type is 'keeper_save'.",,,,,
baseline,actiontype_keeper_claim_a1,Action type,0/1,"One-hot: for the action 1 step(s) before the one being valued, SPADL action type is 'keeper_claim'.",,,,,
baseline,actiontype_keeper_punch_a1,Action type,0/1,"One-hot: for the action 1 step(s) before the one being valued, SPADL action type is 'keeper_punch'.",,,,,
baseline,actiontype_keeper_pick_up_a1,Action type,0/1,"One-hot: for the action 1 step(s) before the one being valued, SPADL action type is 'keeper_pick_up'.",,,,,
baseline,actiontype_clearance_a1,Action type,0/1,"One-hot: for the action 1 step(s) before the one being valued, SPADL action type is 'clearance'.",,,,,
baseline,actiontype_bad_touch_a1,Action type,0/1,"One-hot: for the action 1 step(s) before the one being valued, SPADL action type is 'bad_touch'.",,,,,
baseline,actiontype_non_action_a1,Action type,0/1,"One-hot: for the action 1 step(s) before the one being valued, SPADL action type is 'non_action'.",,,,,
baseline,actiontype_dribble_a1,Action type,0/1,"One-hot: for the action 1 step(s) before the one being valued, SPADL action type is 'dribble'.",,,,,
baseline,actiontype_goalkick_a1,Action type,0/1,"One-hot: for the action 1 step(s) before the one being valued, SPADL action type is 'goalkick'.",,,,,
baseline,actiontype_pass_a2,Action type,0/1,"One-hot: for the action 2 step(s) before the one being valued, SPADL action type is 'pass'.",,,,,
baseline,actiontype_cross_a2,Action type,0/1,"One-hot: for the action 2 step(s) before the one being valued, SPADL action type is 'cross'.",,,,,
baseline,actiontype_throw_in_a2,Action type,0/1,"One-hot: for the action 2 step(s) before the one being valued, SPADL action type is 'throw_in'.",,,,,
baseline,actiontype_freekick_crossed_a2,Action type,0/1,"One-hot: for the action 2 step(s) before the one being valued, SPADL action type is 'freekick_crossed'.",,,,,
baseline,actiontype_freekick_short_a2,Action type,0/1,"One-hot: for the action 2 step(s) before the one being valued, SPADL action type is 'freekick_short'.",,,,,
baseline,actiontype_corner_crossed_a2,Action type,0/1,"One-hot: for the action 2 step(s) before the one being valued, SPADL action type is 'corner_crossed'.",,,,,
baseline,actiontype_corner_short_a2,Action type,0/1,"One-hot: for the action 2 step(s) before the one being valued, SPADL action type is 'corner_short'.",,,,,
baseline,actiontype_take_on_a2,Action type,0/1,"One-hot: for the action 2 step(s) before the one being valued, SPADL action type is 'take_on'.",,,,,
baseline,actiontype_foul_a2,Action type,0/1,"One-hot: for the action 2 step(s) before the one being valued, SPADL action type is 'foul'.",,,,,
baseline,actiontype_tackle_a2,Action type,0/1,"One-hot: for the action 2 step(s) before the one being valued, SPADL action type is 'tackle'.",,,,,
baseline,actiontype_interception_a2,Action type,0/1,"One-hot: for the action 2 step(s) before the one being valued, SPADL action type is 'interception'.",,,,,
baseline,actiontype_shot_a2,Action type,0/1,"One-hot: for the action 2 step(s) before the one being valued, SPADL action type is 'shot'.",,,,,
baseline,actiontype_shot_penalty_a2,Action type,0/1,"One-hot: for the action 2 step(s) before the one being valued, SPADL action type is 'shot_penalty'.",,,,,
baseline,actiontype_shot_freekick_a2,Action type,0/1,"One-hot: for the action 2 step(s) before the one being valued, SPADL action type is 'shot_freekick'.",,,,,
baseline,actiontype_keeper_save_a2,Action type,0/1,"One-hot: for the action 2 step(s) before the one being valued, SPADL action type is 'keeper_save'.",,,,,
baseline,actiontype_keeper_claim_a2,Action type,0/1,"One-hot: for the action 2 step(s) before the one being valued, SPADL action type is 'keeper_claim'.",,,,,
baseline,actiontype_keeper_punch_a2,Action type,0/1,"One-hot: for the action 2 step(s) before the one being valued, SPADL action type is 'keeper_punch'.",,,,,
baseline,actiontype_keeper_pick_up_a2,Action type,0/1,"One-hot: for the action 2 step(s) before the one being valued, SPADL action type is 'keeper_pick_up'.",,,,,
baseline,actiontype_clearance_a2,Action type,0/1,"One-hot: for the action 2 step(s) before the one being valued, SPADL action type is 'clearance'.",,,,,
baseline,actiontype_bad_touch_a2,Action type,0/1,"One-hot: for the action 2 step(s) before the one being valued, SPADL action type is 'bad_touch'.",,,,,
baseline,actiontype_non_action_a2,Action type,0/1,"One-hot: for the action 2 step(s) before the one being valued, SPADL action type is 'non_action'.",,,,,
baseline,actiontype_dribble_a2,Action type,0/1,"One-hot: for the action 2 step(s) before the one being valued, SPADL action type is 'dribble'.",,,,,
baseline,actiontype_goalkick_a2,Action type,0/1,"One-hot: for the action 2 step(s) before the one being valued, SPADL action type is 'goalkick'.",,,,,
baseline,actiontype_pass_a3,Action type,0/1,"One-hot: for the action 3 step(s) before the one being valued, SPADL action type is 'pass'.",,,,,
baseline,actiontype_cross_a3,Action type,0/1,"One-hot: for the action 3 step(s) before the one being valued, SPADL action type is 'cross'.",,,,,
baseline,actiontype_throw_in_a3,Action type,0/1,"One-hot: for the action 3 step(s) before the one being valued, SPADL action type is 'throw_in'.",,,,,
baseline,actiontype_freekick_crossed_a3,Action type,0/1,"One-hot: for the action 3 step(s) before the one being valued, SPADL action type is 'freekick_crossed'.",,,,,
baseline,actiontype_freekick_short_a3,Action type,0/1,"One-hot: for the action 3 step(s) before the one being valued, SPADL action type is 'freekick_short'.",,,,,
baseline,actiontype_corner_crossed_a3,Action type,0/1,"One-hot: for the action 3 step(s) before the one being valued, SPADL action type is 'corner_crossed'.",,,,,
baseline,actiontype_corner_short_a3,Action type,0/1,"One-hot: for the action 3 step(s) before the one being valued, SPADL action type is 'corner_short'.",,,,,
baseline,actiontype_take_on_a3,Action type,0/1,"One-hot: for the action 3 step(s) before the one being valued, SPADL action type is 'take_on'.",,,,,
baseline,actiontype_foul_a3,Action type,0/1,"One-hot: for the action 3 step(s) before the one being valued, SPADL action type is 'foul'.",,,,,
baseline,actiontype_tackle_a3,Action type,0/1,"One-hot: for the action 3 step(s) before the one being valued, SPADL action type is 'tackle'.",,,,,
baseline,actiontype_interception_a3,Action type,0/1,"One-hot: for the action 3 step(s) before the one being valued, SPADL action type is 'interception'.",,,,,
baseline,actiontype_shot_a3,Action type,0/1,"One-hot: for the action 3 step(s) before the one being valued, SPADL action type is 'shot'.",,,,,
baseline,actiontype_shot_penalty_a3,Action type,0/1,"One-hot: for the action 3 step(s) before the one being valued, SPADL action type is 'shot_penalty'.",,,,,
baseline,actiontype_shot_freekick_a3,Action type,0/1,"One-hot: for the action 3 step(s) before the one being valued, SPADL action type is 'shot_freekick'.",,,,,
baseline,actiontype_keeper_save_a3,Action type,0/1,"One-hot: for the action 3 step(s) before the one being valued, SPADL action type is 'keeper_save'.",,,,,
baseline,actiontype_keeper_claim_a3,Action type,0/1,"One-hot: for the action 3 step(s) before the one being valued, SPADL action type is 'keeper_claim'.",,,,,
baseline,actiontype_keeper_punch_a3,Action type,0/1,"One-hot: for the action 3 step(s) before the one being valued, SPADL action type is 'keeper_punch'.",,,,,
baseline,actiontype_keeper_pick_up_a3,Action type,0/1,"One-hot: for the action 3 step(s) before the one being valued, SPADL action type is 'keeper_pick_up'.",,,,,
baseline,actiontype_clearance_a3,Action type,0/1,"One-hot: for the action 3 step(s) before the one being valued, SPADL action type is 'clearance'.",,,,,
baseline,actiontype_bad_touch_a3,Action type,0/1,"One-hot: for the action 3 step(s) before the one being valued, SPADL action type is 'bad_touch'.",,,,,
baseline,actiontype_non_action_a3,Action type,0/1,"One-hot: for the action 3 step(s) before the one being valued, SPADL action type is 'non_action'.",,,,,
baseline,actiontype_dribble_a3,Action type,0/1,"One-hot: for the action 3 step(s) before the one being valued, SPADL action type is 'dribble'.",,,,,
baseline,actiontype_goalkick_a3,Action type,0/1,"One-hot: for the action 3 step(s) before the one being valued, SPADL action type is 'goalkick'.",,,,,
baseline,result_fail_a0,Outcome,0/1,"One-hot: for the action being valued, action outcome is 'fail'.",,,,,
baseline,result_success_a0,Outcome,0/1,"One-hot: for the action being valued, action outcome is 'success'.",,,,,
baseline,result_offside_a0,Outcome,0/1,"One-hot: for the action being valued, action outcome is 'offside'.",,,,,
baseline,result_owngoal_a0,Outcome,0/1,"One-hot: for the action being valued, action outcome is 'owngoal'.",,,,,
baseline,result_yellow_card_a0,Outcome,0/1,"One-hot: for the action being valued, action outcome is 'yellow_card'.",,,,,
baseline,result_red_card_a0,Outcome,0/1,"One-hot: for the action being valued, action outcome is 'red_card'.",,,,,
baseline,result_fail_a1,Outcome,0/1,"One-hot: for the action 1 step(s) before the one being valued, action outcome is 'fail'.",,,,,
baseline,result_success_a1,Outcome,0/1,"One-hot: for the action 1 step(s) before the one being valued, action outcome is 'success'.",,,,,
baseline,result_offside_a1,Outcome,0/1,"One-hot: for the action 1 step(s) before the one being valued, action outcome is 'offside'.",,,,,
baseline,result_owngoal_a1,Outcome,0/1,"One-hot: for the action 1 step(s) before the one being valued, action outcome is 'owngoal'.",,,,,
baseline,result_yellow_card_a1,Outcome,0/1,"One-hot: for the action 1 step(s) before the one being valued, action outcome is 'yellow_card'.",,,,,
baseline,result_red_card_a1,Outcome,0/1,"One-hot: for the action 1 step(s) before the one being valued, action outcome is 'red_card'.",,,,,
baseline,result_fail_a2,Outcome,0/1,"One-hot: for the action 2 step(s) before the one being valued, action outcome is 'fail'.",,,,,
baseline,result_success_a2,Outcome,0/1,"One-hot: for the action 2 step(s) before the one being valued, action outcome is 'success'.",,,,,
baseline,result_offside_a2,Outcome,0/1,"One-hot: for the action 2 step(s) before the one being valued, action outcome is 'offside'.",,,,,
baseline,result_owngoal_a2,Outcome,0/1,"One-hot: for the action 2 step(s) before the one being valued, action outcome is 'owngoal'.",,,,,
baseline,result_yellow_card_a2,Outcome,0/1,"One-hot: for the action 2 step(s) before the one being valued, action outcome is 'yellow_card'.",,,,,
baseline,result_red_card_a2,Outcome,0/1,"One-hot: for the action 2 step(s) before the one being valued, action outcome is 'red_card'.",,,,,
baseline,result_fail_a3,Outcome,0/1,"One-hot: for the action 3 step(s) before the one being valued, action outcome is 'fail'.",,,,,
baseline,result_success_a3,Outcome,0/1,"One-hot: for the action 3 step(s) before the one being valued, action outcome is 'success'.",,,,,
baseline,result_offside_a3,Outcome,0/1,"One-hot: for the action 3 step(s) before the one being valued, action outcome is 'offside'.",,,,,
baseline,result_owngoal_a3,Outcome,0/1,"One-hot: for the action 3 step(s) before the one being valued, action outcome is 'owngoal'.",,,,,
baseline,result_yellow_card_a3,Outcome,0/1,"One-hot: for the action 3 step(s) before the one being valued, action outcome is 'yellow_card'.",,,,,
baseline,result_red_card_a3,Outcome,0/1,"One-hot: for the action 3 step(s) before the one being valued, action outcome is 'red_card'.",,,,,
baseline,bodypart_foot_a0,Body part,0/1,"One-hot: for the action being valued, action performed with 'foot'.",,,,,
baseline,bodypart_head_a0,Body part,0/1,"One-hot: for the action being valued, action performed with 'head'.",,,,,
baseline,bodypart_other_a0,Body part,0/1,"One-hot: for the action being valued, action performed with 'other'.",,,,,
baseline,bodypart_head/other_a0,Body part,0/1,"One-hot: for the action being valued, action performed with 'head/other'.",,,,,
baseline,bodypart_foot_a1,Body part,0/1,"One-hot: for the action 1 step(s) before the one being valued, action performed with 'foot'.",,,,,
baseline,bodypart_head_a1,Body part,0/1,"One-hot: for the action 1 step(s) before the one being valued, action performed with 'head'.",,,,,
baseline,bodypart_other_a1,Body part,0/1,"One-hot: for the action 1 step(s) before the one being valued, action performed with 'other'.",,,,,
baseline,bodypart_head/other_a1,Body part,0/1,"One-hot: for the action 1 step(s) before the one being valued, action performed with 'head/other'.",,,,,
baseline,bodypart_foot_a2,Body part,0/1,"One-hot: for the action 2 step(s) before the one being valued, action performed with 'foot'.",,,,,
baseline,bodypart_head_a2,Body part,0/1,"One-hot: for the action 2 step(s) before the one being valued, action performed with 'head'.",,,,,
